,Q,A,A1,A2,A3,Why
0,何者為分級醫療的主要目標？,減少醫療資源浪費,施行單向轉診制度,教學與醫療一體化,鼓勵民眾到大醫院看診,為了紓解醫院擁擠情形，健保署推動雙向轉診制度，並調整門急診部分負擔，期望建立制度，目的在促使醫療資源有效運用，院所分工合作，民眾得到最好的照護，慢慢導引大家有病先找家庭醫師，病情需要再轉診至醫院。
1,轉診的報到方式，下列何者正確？,到轉診中心櫃台報到,先找醫師報到,到一般掛號櫃台報到,以上皆是,不管是持轉診單還是透過電子轉診平台轉診，都需要先到轉診中心櫃台報到，原則上建議持轉診單的病人到轉診醫院就直接到轉診中心，因為轉診辦法規定，每家醫院都須設置轉診設施(櫃台)，給需要轉診病人作適當安排。
2,若基層院所使用紙本轉診單，轉診院所該如何處理？,可直接使用紙本資料,不受理轉診,要求基層院所提供電子檔,須轉換為電子轉診資料,基層院所使用紙本轉診單時，接受轉診的院所不需轉換為電子轉診資料。但電子轉診平台能夠強化診所與醫院合作轉診，提升轉診效率與品質，因此未來仍朝向使用安全、有效率、一致性的健保轉診平台系統為目標。
3,民眾因出國需要，請醫師開立備用藥物，下列何者正確？,不在保險醫療給付範圍,是針對保險對象的診療照護,單次可領取6個月份量,屬違法行為,查現行全民健康保險醫療給付，係針對保險對象之傷病或生育提供診療照護。民眾如為出國需要之「備藥」，屬自己的保健行為，不在本保險醫療給付範圍。
4,何種平台可查詢各院所之醫療品質資訊？,全民健康保險醫療品質資訊網,醫事人員溝通平台,全民健保行動快易通APP,各院所的官方網站,健保署目前已公布診所別醫療品質資訊於「全民健康保險醫療品質資訊網」，其中西醫基層共計提供約30項品質指標項目供民眾查詢，民眾可以透過該平台查詢相關院所別品質資訊。
5,只有病人在何種條件下才適合開立慢性病處方箋？,病情穩定的慢性病患,病情危急的慢性病患,病患工作繁忙無法就診,65歲以上的病患,不分院所皆可開立慢性病處方箋，但先決條件是病人是否適合開立慢性病處方箋，只有病情穩定的慢性病患者才適合開立慢性病處方箋。
6,病患換了看診醫院，須讓醫師瞭解其病歷，下列何者錯誤？,以個人的醫療知識告知醫師,網路查詢「健康存摺」,出示固定服用的藥物藥袋,提供病史和藥物過敏紀錄,健保署有建置「健康存摺」系統，病患可以透過網路查詢過去3年的就診資料；亦可請醫師利用健保雲端查詢系統，查詢近3個月內的用藥資訊及就醫紀錄。病人也可以提供病史、藥物過敏紀錄、近期健康檢查資料或固定服用的藥物藥袋，協助醫師診斷。
7,假日時身體不舒服，查詢居家附近醫療院所的方法，何者錯誤？,撥打「104」,全民健保行動快易通APP,健保署全球資訊網,全民健保諮詢專線,"查詢醫療院所看診時段有下列3種方式：
一、下載全民健保行動快易通APP查詢
二、健保署全球資訊網查詢：http://www.nhi.gov.tw
三、全民健保諮詢專線:0800-030-59"
8,健保署全球資訊網，其網址為http://？,www.nhi.gov.tw,www.ntu.gov.tw,www.ctn.gov.tw,www.nbi.gov.tw,健保署全球資訊網：http://www.nhi.gov.tw
9,全民健保諮詢專線，其號碼為？,0800-030-598,0800-031-598,0800-032-598,0800-033-598,全民健保諮詢專線：0800-030-598
10,依健保法規定，可減輕、減免基本部分負擔的民眾，不包含下列何者？,65歲以上老人,重大傷患,分娩,山地離島地區民眾,重大傷病、分娩及山地離島地區就醫等民眾，依健保法規定免部分負擔。
11,減輕、減免基本部分負擔的目的，下列何者錯誤？,增加健保收入,導引民眾改變就醫習慣,建立有效的轉診制度,醫療資源有效運用,為了紓解醫院擁擠情形，健保署推動雙向轉診制度，並調整門急診部分負擔，期望建立制度，目的在促使醫療資源有效運用，院所分工合作，民眾得到最好的照護，慢慢導引大家有病先找家庭醫師，病情需要再轉診至醫院。
12,分級醫療對持有連續處方箋的慢性病患有什麼影響？,仍維持免藥品部分負擔,部分負擔調升50元,部分負擔調升40元,部分負擔調升30元,未經轉診直接到醫院看病，民眾必須繳交的門診基本部分負擔費用較高，但是持有連續處方箋領藥(開藥28天以上)仍維持免藥品部分負擔。
13,民眾到急診後，該如何知道自己的檢傷分類是第幾級？,檢傷分類專業人員判定,病患自己陳述,病患家屬告知,掛號處告知,民眾於醫院急診室就醫時，由檢傷分類專業人員依檢傷分類原則判定後，決定看診順序，非民眾自行判斷病情之標準。
14,檢傷分類共有幾級？,5級,7級,3級,4級,檢傷分類分為5級，急迫程度如下：(一)第一級：病況危急，需立即處置或復甦急救。(二)第二級：潛在性危及生命、肢體及器官功能需快速控制與處置。(三)第三級：病況可能持續惡化或伴隨明顯不適的症狀，影響日常活動。(四)第四級：病況可能是慢性疾病的急性發作或合併症，需要在1-2小時內做處置。(五)第五級：病況為非緊急狀況，需做鑑別性的診斷或轉介門診。
15,醫院診所可將住院病人轉診之緣由，下列何者為非？,病人家屬要求,人員、設備不足,無法確定病人之病因,無法提供完整治療,轉診是基於醫療上需要，並符合醫療法第73條第1項規定，醫院、診所因限於人員、設備及專長能力，無法確定病人之病因或提供完整治療時，應建議病人轉診，而非應民眾要求開立轉診單。
16,下列何者為急診病患適用之轉診規定？,先予適當之急救再轉診,可逕行轉診,依法不得轉診,不需病患或家屬同意,依據醫療法第73條，醫院、診所因限於人員、設備及專長能力，無法確定病人之病因或提供完整治療時，應建議病人轉診。但危急病人應依醫療法第60條規定，先予適當之急救，始可轉診。急診病患亦適用轉診規定。
17,轉診當日或轉診後之回診，同日內看2科算回診幾次？,算回診2次,算回診1次,依各院所規定,依各科別規定,現行病患於同一醫院就醫，同日內看2科，視為就醫兩次計2次部分負擔，如醫院提供整合性門診，則計收1次部分負擔。
18,分娩出院後多久回診視同轉診？,6週,8週,10週,12週,分娩出院後六星期內首次回診，或住院出院後1個月內首次回診，視同轉診。
19,轉診目的非住院，經門診診療後轉住院，出院後多久回診視同轉診？,1個月內,2個月內,45天內,6個月內,依轉診實施辦法第11條第4款，住院出院後1個月內之首次回診，視同轉診。
20,轉診就醫後視同轉診之回診最多幾次？,1個月內至多4次,1個月內至多5次,2個月內至多4次,2個月內至多5次,持轉診單就醫後，因「轉診之傷病」經接受轉診之「醫師認定」需繼續於該院所「門診診療」，轉診就醫日起1個月內至多4次之回診，不含轉診就醫當次，可視同轉診，不需轉診單。
21,對轉診單的描述，下列選項何者正確？,效期為90天,不限制轉診原因,1年可使用3次,終身有效,轉診是對當次就醫，經專業判斷需進一步診療，而就醫之院所因人力、設備限制，當下無法提供服務，所以應開立轉診單，協助病患找對醫院及科別，並提供病患的病歷摘要、轉診目的，因此轉診單的使用是一次性，且限當次轉診原因。
22,106年4月15日部分負擔調整內容，經特約院所轉診收費為170元，未經特約院所轉診收費為？,420元,320元,250元,220元,106年4月15日部分負擔調整：如果沒有經過轉診就直接到醫學中心看門診，部分負擔將調高60元；經轉診到區域醫院或醫學中心看門診，部分負擔將調降40元；到醫學中心急診部分負擔金額，依檢傷分類調整，檢傷分類不是1、2級者，部分負擔將調高100元。
23,轉診單上的轉診醫院為A醫院，病患若想到B醫院看診，則下列敘述何者錯誤？,可任意到其他醫院,先與醫師溝通討論,請原院所修改轉診醫院,無法減輕部分負擔,病患若未依轉診單所載之轉診院所就醫，另行到別的院所看診，即無法減輕部分負擔。若確實有需要改轉診醫院，可請原開立轉診單的院所修改轉診醫院。
24,各級醫院負有不同的照護任務與角色，請問何者為最適當的轉診院所？,由轉診醫師與病人討論,區域醫院,地區醫院,醫學中心,轉出院所開立轉診單前，由轉診醫師與病人討論，轉至適當且病人覺得方便之醫院。不一定是轉診至醫學中心，也可以是區域醫院、地區醫院或基層診所，都可以協助病人轉診。
25,電子轉診的優點，下列何者有誤?,安排效率較差,縮短病人等待的時間,同步接收病人資訊,不用重複說明病情,透過電子轉診平台進行轉診，接受轉診院所能夠於轉診單開立當時同步接收轉診病人之資訊，縮短病人等待的時間，提升轉診效率；轉出院所可直接將病歷摘要、轉診目的提供給接受轉診院所，病人不用重複說明病情；接受轉診院所可即時回復處理情形、治療摘要、院所名稱及診治醫師給轉出院所，待病人病情穩定後可直接轉回原院所接受持續性照護。
26,何者是負有研究、教學以及急重症病患的治療照護的醫療院所？,醫學中心,區域醫院,地區醫院,基層診所,我國醫療院所的層級，按照衛生福利部分類，目前分為醫學中心、區域醫院、地區醫院及基層診所，各級醫院負有不同的照護任務與角色，醫學中心負有研究、教學以及急重症病患的治療照護，其他層級醫院則另負有任務及功能。
27,經轉診治療後，病情已無需在轉診院所繼續接受治療，而轉回原診療院所追蹤治療，稱為：,雙向轉診,逐級轉診,追蹤轉診,原院轉診,當保險對象經轉診治療後，病情已無需在接受轉診院所繼續接受治療，應建議轉回由原診療或其他適當之院所執行後續追蹤治療。這種轉診制度稱為雙向轉診。
28,關於分級醫療宣導內容，下列敘述何者有誤？,生病先找大醫院,促使院所分工合作,讓醫院專注急重症照護,生病先到基層診所,為了紓解醫院擁擠情形，健保署推動雙向轉診制度，並調整門急診部分負擔，期望建立制度，目的在促使醫療資源有效運用，院所分工合作，民眾得到最好的照護，慢慢導引大家有病先找家庭醫師，病情需要再轉診至醫院。
29,關於分級醫療的好處，下列敘述何者有誤？,破除醫院層級藩籬,使民眾得到妥善照護,醫療資源有效運用,避免浪費就醫時間,藉由分工合作的照護方式，依醫療專業建議，病患接受分流及轉診，讓各層級醫療院所各司其職，一旦需要到醫院就醫時，醫院有充分人力提供急、重症的照護，讓病患獲得迅速妥善的治療，避免不必要的醫療花費與就醫時間。
30,轉診制度中，由院所將個案轉至同一層級院所的轉診方式稱為？,平行轉診,基層轉診,逐級轉診,雙向轉診,醫師開立轉診單前，轉診醫師與病人討論，協助轉診至適當院所，並無限制接受轉診院所之層級，即可以基層轉診至基層院所。同一層級相互轉診，稱為平行轉診。
31,醫療院所協助民眾轉診，下列敘述何者有誤？,專業判斷不需與病患溝通,視病情開立轉診單,協助病患看對科別,協助病患找對醫院,醫療院所對於符合需要轉診的病患，應開立轉診單，並且與病患溝通，本於專業協助病患找對醫院及看對科，轉診單內容包括轉診目的、病歷摘要、接受轉診之院所名稱、地址、電話、診療科別、開立日期、有效期限等。